id_step,id_resep,step
S312,R62,"Masukkan makaroni, telur, keju parut, dan garam secukupnya. Aduk hingga merata."
S313,R62,Letakkan adonan pada wadah yang telah diolesi mentega.
S314,R62,Kukus sekitar 30 menit.
S315,R62,"Jika diperlukan, saring hingga teksturnya sesuai yang diinginkan."
S316,R63,"Cuci bersih seledri, wortel, dan kentang."
S317,R63,"Masak nasi putih hingga menjadi bubur, lalu tambahkan seledri."
S318,R63,"Kukus wortel dan kentang sampai empuk. Setelah matang, saring bubur, wortel dan kentang."
S319,R63,Campur semua bahan dengan susu formula atau ASI sesuai selera. Aduk hingga rata.
S320,R63,Siap disajikan.
S321,R65,"Rebus air sampai mendidih. Sambil menunggu air campurkan tahu, daging ayam cincang, bumbu halus, garam, gula, dan merica, selanjutnya haluskan serta tambahkan tapioka kemudian uleni hingga tercampur rata dan bisa di bentuk"
S322,R65,Ambil adonan sebanyak satu sendok teh kemudian bentuk bulat dan langsung di masukkan pada air mendidih.
S323,R65,Lakukan sampai adonan habis Setelah semua bola-bola tahu ayam mengapung masukan wortel dan jagung terlebih dulu tunggu sejenak kemudian brokoli dan telur puyuh rebus.
S324,R65,"Masukan garam, gula dan merica serta irisan bawang daun dan seledri. Setelah sayuran matang koreksi rasa. Sajikan dengan nasi dan taburan bawang goreng."
S325,R66,"Rebus ayam hingga setengah matang, tambahkan serai geprek, daun salam, daun jeruk, dan lengkuas yang digeprek."
S326,R66,"Tumis bumbu yang dihaluskan hingga harum dan matang, lalu masukkan ke dalam rebusan ayam."
S327,R66,"Tambahkan garam, gula dan merica. Masak hingga ayam matang dan empuk. Jangan lupa koreksi rasa."
S328,R66,Daging ayam bisa diangkat dan di suir-suir.
S329,R66,"Siapkan mangkuk berikan soun yang sudah direndam, toge, suiran daging ayam, serta telur puyuh rebus."
S330,R66,"Tambahkan kuah soto ayam, serta taburkan daun bawang, seledri, dan bawang goreng."
S331,R66,Sajikan dengan nasi hangat dan lengkapi dengan buah.
S332,R67,"Rebus kaldu ayam hingga mendidih, masukkan kentang, kacang merah, dan labu kuning hingga setengah matang."
S333,R67,"Masukkan suwiran ikan nila kukus, bawang merah goreng dan bawang putih goreng masak hingga matang."
S334,R67,"Tambahkan tomat, bawang daun, bawang goreng, dan telur puyuh, aduk perlahan."
S335,R67,"Tambahkan garam, gula dan merica secukupnya dan aduk rata. Angkat dan sajikan dengan buah."
S336,R68,"Bersihkan ikan, lumuri dengan garam dan jeruk nipis atau cuka biarkan 10 menit kemudian bilas dengan air sampai bersih."
S337,R68,Lumuri kembali ikan kembung dengan garam dan jeruk nipis biarkan 5 menit.
S338,R68,"Panaskan minyak, goreng ikan kembung sampai matang sisihkan."
S339,R68,"Tumis bumbu halus tambahkan sereh, salam dan laos tunggu sampai air mendidih."
S340,R68,Masukkan potongan labu siam dan tempe masak sampai matang.
S341,R68,Tambahkan santan dan masukkan ikan goreng.
S342,R68,"Tambahkan garam dan gula secukupnya, masukkan tomat dan koreksi rasa. Sajikan dengan nasi hangat."
S343,R69,"Campurkan tempe, daging ayam cincang, wortel, keju, bawang daun, tepung terigu, tapioka, telur, bawang goreng, dan bawang putih halus. Aduk sampai tercampur rata."
S344,R69,Ambil loyang olesi minyak dulu kemudian masukkan adonan nugget dan ratakan. Kukus selama 30 menit atau sampai matang. Setelah dingin potong adonan sesuai ukuran yang diinginkan
S345,R69,"Cairkan terigu dengan air sampai menjadi larutan yang cukup kekentalannya. Celupkan nugget ke tepung terigu basah, gulirkan pada tepung panir"
S346,R69,Sebaiknya disimpan dulu di kulkas selama 30 menit atau bisa langsung di goreng di minyak yang panas. Sajikan selagi hangat. Bisa juga dijadikan lauk.
S347,R70,"Kukus beras aron, tahu, daging ikan tuna, dan wortel hingga matang."
S348,R70,"Setelah air di dalam kukusan habis, tambahkan sedikit air. Masukkan tomat, bayam, keju parut, dan bawang putih bubuk."
S349,R70,Lanjutkan mengukus hingga menjadi bubur tim yang lembut.
S350,R71,Masukkan semua bahan kecuali margarin ke dalam wadah.
S351,R71,Kocok hingga tercampur rata.
S352,R71,"Siapkan wajan panas, lalu lelehkan margarin secukupnya."
S353,R71,Masak adonan seperti membuat telur dadar.
S354,R71,"Setelah matang, angkat dan potong sesuai selera."
S355,R72,"Masukkan nasi, serai, labu kuning serta 700 ml air ke dalam panci."
S356,R72,Masak selama sekitar 40 menit hingga menjadi bubur.
S357,R72,"Masukkan bayam, kemangi, dan garam, lalu masak hingga matang. Matikan api."
S358,R72,Sajikan saat masih hangat.
S359,R73,Kukus tempe selama 15 menit untuk menghilangkan rasa pahit dari soya tempe.
S360,R73,"Tumis bawang bombai sampai kecokelatan. Masukkan 2 bawang putih, masak sebentar, dan sisihkan."
S361,R73,"Dalam food processor, masukkan tempe, ayam, tepung, garam, merica, serta tumisan bawang bombai dan bawang putih. Proses hingga adonan halus."
S362,R73,"Ambil sejumput adonan tempe, bentuk bulat, dan bungkus dengan potongan keju mozzarella. Pastikan keju tertutup rapat oleh adonan tempe."
S363,R73,"Masukkan nugget ke dalam kocokan telur. Lalu, pindahkan ke dalam tepung roti."
S364,R73,"Panaskan minyak dalam wajan, dan goreng nugget hingga warnanya kecokelatan dan keju mozzarella meleleh di dalamnya."
S365,R73,Sajikan nugget tempe keju dengan saus tomat.
S366,R74,Campurkan santan dengan tepung beras ke dalam panci. Aduk rata.
S367,R74,"Nyalakan api, aduk terus sampai mengental."
S368,R74,"Beri sedikit garam dan alpukat yang sudah dihaluskan. Setelah tercampur rata, matikan kompor."
S369,R74,Pindahkan bubur sumsum ke dalam mangkuk.
S370,R74,Beri gula jawa cair di atasnya. Sajikan selagi hangat.
S371,R75,"Pertama, buat nasinya terlebih dulu. Panaskan minyak wijen, tumis beras sebentar lalu tambahkan kecap manis, kecap asin, saus tiram dan kaldu jamur, aduk hingga merata. Lalu tambahkan air kaldu dan biarkan hingga meresap ke dalam beras."
S372,R75,"Di wajan terpisah, masak topping-nya. Tumis bawang merah dan bawang putih hingga harum. Masukkan potongan ayam dan jamur, aduk rata. Beri air secukupnya."
S373,R75,"Pada wajan topping, tambahkan gula, garam, kecap manis, kecap asin, saus tiram, minyak wijen, gula, garam, kaldu jamur dan lada bubuk. Masak hingga air menyusut."
S374,R75,"Tata topping ayam jamur dan telur rebus pada dasar mangkok, lalu tutup dengan beras yang telah dibumbui tadi. Kemudian aduk semua bahan hingga merata."
S375,R75,Kukus selama kurang lebih 40 menit hingga matang.
S376,R75,Sajikan selagi hangat.
S377,R76,"Kupas tomat. Buang bijinya terlebih dahulu, lalu potong kecil-kecil."
S378,R76,"Cincang bawang putih, lalu tumis sampai wangi"
S379,R76,Masukkan tomat yang sudah dipotong-potong.
S380,R76,Tambahkan oregano dan cooking cream. Masak hingga tomat lembut.
S381,R76,"Setelah lembut, masukkan tomat dan campur hingga merata."
S382,R76,"Tuang ke dalam mangkuk, taburi dengan keju (opsional)."
S383,R77,Seduh oatmeal dengan air hangat.
S384,R77,Aduk adonan tersebut secara merata dan tambahkan sedikit ASI.
S385,R77,Berikan topping buah pisang serta stroberi.
S386,R78,"Rebus jagung manis, kemudian parut secara halus."
S387,R78,"Kupas tomat, cincang halus, dan buang bijinya."
S388,R78,Iris halus seledri dan juga kangkung.
S389,R78,"Masukkan nasi aron, ikan tenggiri, jagung manis, kangkung, dan tomat ke dalam mangkuk tahan panas."
S390,R78,Beri air kaldu hingga bahan-bahan tadi terendam.
S391,R78,"Saat sebelum matang, masukkan mentega dan seledri, kemudian tim kembali hingga matang."
S392,R78,"Setelahnya, angkat dan hidangkan bubur tim jagung manis."
S393,R79,"Campurkan semua bahan, kecuali kiwi, dan aduk adonan hingga benar-benar merata."
S394,R79,"Setelah itu, panaskan wajan dan masak crepes dengan tipis."
S395,R79,Ulangi proses tersebut sampai crepes terdiri dari beberapa lembar.
S396,R79,Kemudian sajikan dengan topping buah kiwi yang sudah dipotong kecil-kecil.
S397,R80,"Dalam sebuah mangkuk kecil, kocok telur, air, dan bayam."
S398,R80,"Panaskan minyak zaitun di atas wajan. Tuang telur, aduk rata menggunakan spatula secara perlahan sampai menjadi orak-arik."
S399,R80,"Sebelum matang sepenuhnya, masukkan parutan keju. Lalu, masak kembali hingga matang sempurna."
S400,R80,Angkat dan tuang ke piring saji.
S401,R81,"Pertama-tama, panaskan butter di atas wajan atau pan terlebih dahulu."
S402,R81,"Tumis bawang bombay dan masak sampai harum. Kemudian, masukkan bawang putih, lalu masak selama beberapa menit."
S403,R81,"Tambahkan potongan kentang, lalu masak kembali. Angkat dan sisihkan."
S404,R81,"Rebus air dalam panci dan tuang tumisan bawang bombay, bawang putih, kentang, dan keju yang telah diparut. Gunakan api kecil dan tunggu sampai mendidih."
S405,R81,Masukkan daging ayam. Tutup panci dan biarkan mendidih selama kurang lebih 10 menit sampai benar-benar matang.
S406,R81,Angkat sup dan sajikan selagi hangat.
S407,R82,"Rebus tomat terlebih dulu. Lalu, buang kulit dan bijinya. Kemudian, haluskan dan sisihkan."
S408,R82,"Masak air sampai mendidih. Lalu, masukkan spaghetti. Taburi sedikit garam serta minyak goreng agar pasta tidak lengket. Masak selama 10-12 menit."
S409,R82,Panaskan margarin dalam wajan. Tumis bawang bombay dan bawang putih sampai wangi.
S410,R82,Masukkan daging dan tomat yang telah dihaluskan. Aduk sampai merata. Beri sedikit air.
S411,R82,"Tunggu sampai airnya habis, masukkan pasta yang sudah matang. Aduk sampai merata."
S412,R82,Taburi keju parut dan sajikan.
S413,R83,"Kukus kentang, wortel, dan tomat hingga empuk."
S414,R83,"Geprek dan cincang bawang putih, iris halus bawang merah, tumis daging sapi giling hingga matang dan harum."
S415,R83,"Haluskan daging sapi yang sudah ditumis, kentang, wortel, dan tomat dengan menggunakan blender atau saringan kawat."
S416,R83,Tambahkan parutan keju supaya lebih nikmat. Sajikan.
S417,R84,Masak nasi putih dengan air secukupnya hingga teksturnya menjadi bubur.
S418,R84,Kukus edamame dan brokoli hingga empuk.
S419,R84,Tumis hati ayam dengan bawang putih.
S420,R84,"Blender edamame, brokoli, dan hati ayam. Campurkan dengan bubur nasi."
S421,R84,Haluskan dengan menggunakan saringan kawat. Pastikan teksturnya lumat dan bayi mudah menelannya. Bubur hati ayam dan edamame siap dinikmati.
S422,R85,"Remat-remat ikan kembung yang sudah difillet, pisahkan jika ada durinya."
S423,R85,"Geprek bawang putih, bawang merah, dan jahe."
S424,R85,"Masukkan ikan, tepung beras, air, bawang, kaldu, dan jahe ke dalam slow cooker selama 3 jam."
S425,R85,"Sesudah 2 jam, masukkan bayam."
S426,R85,Setelah bubur matang masukkan ke blender atau food processor. Tambahkan sedikit minyak zaitun.
S427,R86,Kukus apel hingga empuk.
S428,R86,Lumatkan apel yang sudah dikukus dan pisang dengan menggunakan garpu.
S429,R86,"Saring apel dan pisang, tambahkan yogurt."
S430,R87,Parut wortel dan cincang daun bayam
S431,R87,"Tumis bawang putih dan bawang merah hingga harum, masukkan teri basah, aduk hingga teri berubah warna."
S432,R87,"Masukkan parutan wortel dan bayam. Tumis sebentar, tambahkan air."
S433,R87,"Masukkan nasi putih, bumbui dengan garam secukupnya. Masak hingga teksturnya menjadi bubur lembek. Matikan kompor."
S434,R87,"Saring bubur, pisahkan sesuai dengan porsi makan anak."
S435,R88,"Cincang halus daging ayam dan jamur, bumbui dengan kaldu jamur, dan tumis sampai matang."
S436,R88,"Dalam panci didihkan air lalu masukkan nasi putih, masak hingga menjadi bubur."
S437,R88,Tambahkan ayam cincang dan jahe ke dalam panci.
S438,R88,"Bagi pakchoi jadi bagian batang dengan daun, rebus terpisah dan blender."
S439,R88,Masukkan pakchoi ke dalam bubur dan diaduk. Masukkan santan dan aduk.
S440,R88,Saring dan sajikan.
S441,R89,"Cuci pepaya dengan menggunakan air bersih, parut, dan saring menggunakan saringan kawat."
S442,R89,"Masukkan biskuit susu ke dalam pepaya, hancurkan biskuit dan aduk. Siap disajikan"
S443,R90,Kupas pisang dan potong dadu. Keruk bagian dalam alpukat.
S444,R90,Blender pisang dan alpukat hingga lumat.
S445,R90,"Tambahkan ASI atau susu formula, aduk rata."
S446,R90,Saring kembali dan sajikan.
S447,R91,"Didihkan air, masukkan kacang hijau, santan, jahe yang sudah digeprek, dan kayu manis."
S448,R91,"Aduk-aduk, beri gula dan garam, koreksi rasa."
S449,R91,"Setelah teksturnya berubah menjadi bubur, matikan kompor."
S450,R91,Angkat dan saring hingga menjadi lumat. Siap disantap.
S451,R92,"Haluskan buah pisang, kurma matang dan ubi ungu yang telah dikukus. Campur semua bahan hingga rata."
S452,R92,Tambahkan susu sedikit demi sedikit hingga menjadi bubur bayi.
S453,R92,Sajikan.
S454,R93,Cuci bersih semua bahan-bahan.
S455,R93,Rebus daging cincang dengan 300 ml air sampai mendidih.
S456,R93,"Masukkan bawang putih, kentang, telur puyuh, dan potongan wortel sampai empuk."
S457,R93,Aduk merata dan pastikan sudah empuk.
S458,R93,"Matikan kompor, diamkan sampai agak hangat."
S459,R93,Cacah atau cincang sop daging sampai agak kasar.
S460,R94,Tumis bawang putih memakai margarin sampai harum.
S461,R94,"Masukkan daging sapi cincang, tumis sampai berubah warna."
S462,R94,"Tuang susu UHT dan air matang, masak sampai mendidih."
S463,R94,"Masukkan makaroni, aduk sebentar."
S464,R94,"Tambahkan jamur dan sawi, aduk merata."
S465,R94,"Masukkan larutan maizena dan parutan keju, aduk sampai mengental."
S466,R94,Sajikan selagi hangat.
S467,R95,Potong roti menjadi 4 bagian.
S468,R95,Siapkan telur di dalam wadah dan masukkan keju lalu aduk rata.
S469,R95,Masukkan potongan roti ke dalam adonan telur.
S470,R95,Panaskan wajan dan lelehkan margarin.
S471,R95,Angkat roti yang sudah dicelupkan ke dalam adonan
S472,R95,Panggang roti sampai matang.
S473,R96,"Masukkan beras dan wortel ke dalam slow cooker, atur waktu selama 2 jam."
S474,R96,"Sambil menunggu nasi tim, tumis bawang merah dan putih memakai margarin."
S475,R96,"Setelah harum, masukkan air dan panaskan sampai mendidih."
S476,R96,"Masukkan ayam giling, masak sampai setengah matang."
S477,R96,"Masukkan tahu, kecap manis, dan asin."
S478,R96,"Setelah matang, sajikan ayam dan tahu bersama nasi tim wortel."
S479,R97,"Cuci beras yang sudah disiapkan, lalu masukkan air dan rebus sampai mendidih."
S480,R97,"Masukkan bawang putih, bawang merah, dan ikan patin dengan api kecil."
S481,R97,Aduk sesekali sambil memeriksa tingkat kelunakan beras.
S482,R97,"Masukkan tomat, wortel, keju, gula, dan garam. Aduk sampai larut dan mengental."
S483,R97,"Setelah matang, tuang ke dalam mangkuk dan siap disantap si kecil."
S484,R98,"Masukan beras dan air ke dalam slow cooker, set 2 jam."
S485,R98,"Panaskan margarin, masukkan bawang putih, masak hingga harum."
S486,R98,"Masukkan ayam dan jagung, tambahkan sedikit air, kemudian masukkan keju, sawi, parsley, masak hingga air menyusut."
S487,R98,"Kemudian, campurkan tumisan ayam ke dalam slow cooker. Setelah matang bagi menjadi 3 porsi."
S488,R99,"Cuci bersih kentang, potong jadi 2 bagian. Rebus atau kukus hingga matang."
S489,R99,"Setelah matang, kerok bagian tengah atau ambil dagingnya.Haluskan dengan garpu, sisihkan. Kulitnya jangan dibuang untuk wadah mangkuk."
S490,R99,"Panaskan wajan, masukkan margarin lalu tumis bawang putih dan tambahkan daging tumis hingga matang. Lalu, sisihkan."
S491,R99,"Dalam wadah lain, campurkan kentang, wortel, daging sapi, garam, dan merica bubuk. Aduk rata dan koreksi rasa."
S492,R99,"Panaskan oven. Sambil menunggu oven panas, siapkan mangkuk dari kentang, isi dengan adonan hingga penuh. Beri potongan keju dan taburi dengan parsley."
S493,R99,Panggang selama sekitar 25 menit. Hidangnya setelah matang.
S494,R100,Rebus spaghetti sampai matang.
S495,R100,"Untuk tumisan ayam, lelehkan margarin, tumis bawang putih sampai harum."
S496,R100,"Masukkan ayam dan wortel, tumis sampai ayam berubah warna."
S497,R100,Masukkan 1 sdt kaldu bubuk.
S498,R100,Masukkan pala bubuk dan keju parut.
S499,R100,"Aduk rata. Masak sebentar, angkat."
S500,R100,Siapkan wadah anti panas. Masukkan spaghetti dan tumis ayam.
S501,R100,Masukkan telur. Campur rata.
S502,R100,Kukus selama 15 menit.
S503,R101,"Rebus pasta dalam air hingga matang sedang (al dente). Angkat, tiriskan, lalu sisihkan."
S504,R101,"Panaskan minyak zaitun, tumis bawang putih dan bawang bombay sampai harum."
S505,R101,"Masukkan saus tomat, aduk hingga bumbu rata."
S506,R101,"Tambahkan tuna, pasta rebus, jagung manis yang sudah dipipil, dan parsley cincang. Aduk rata. Angkat."
S507,R101,"Taruh adonan pasta dalam pinggan atau loyang tahan panas, taburi dengan keju parut. Panggang sebentar dalam oven panas hingga keju kekuningan. Angkat dan sajikan hangat."
S508,R102,"Kukus brokoli dan kembang kol yang sudah dicuci bersih selama kurang lebih 3-5 menit, atau sampai setengah matang. Angkat, kemudian masukkan ke dalam air es. Tiriskan dan sisihkan terlebih dahulu."
S509,R102,"Untuk membuat saus keju, pertama-tama lelehkan unsalted butter dalam wajan. Kemudian, masukkan tepung terigu serbaguna, aduk hingga rata. Tuang susu sedikit demi sedikit sambil terus diaduk sampai mengental dan mendidih."
S510,R102,"Masukkan keju mozarella dan parmesan secukupnya ke dalam wajah. Aduk sampai keju larut. Jika sudah, angkat dan sisihkan."
S511,R102,Siapkan loyang atau wadah tahan panas yang sudah diolesi mentega. Tata brokoli dan kembang kol ke dalam wadah.
S512,R102,"Selanjutnya, siram brokoli dan kol dengan saus keju. Taburi kembali dengan keju mozzarella, keju cheddar, dan parmesan bubuk."
S513,R102,"Panggang brokoli dan kembang kol dalam suhu 180ºC hingga kecokelatan (kurang lebih 15 menit). Jika sudah, keluarkan dan sajikan hangat untuk si Kecil."
S514,R103,"Panaskan margarin, lalu tumis bawang bombay dan bawang putih hingga harum."
S515,R103,"Masukkan daging ayam dan tomat, lalu masak sampai daging matang."
S516,R103,"Masukkan tahu dan brokoli, lalu aduk-aduk hingga merata. Angkat jika sudah harum dan berubah warna. Bagi tumisan ke dalam tiga wadah tahan panas."
S517,R103,"Larutkan tepung beras dengan kaldu, bagi menjadi tiga bagian, lalu tuang masing-masing ke wadah tumisan sayur dan daging."
S518,R103,Kukus selama 20 menit atau sampai matang. Sajikan nasi tim tahu brokoli.
S519,R104,Rebus wortel dan ayam dengan api sedang selama sekitar 25 menit. Rebus lebih lama jika bayi Anda lebih suka makanan yang lebih lembut.
S520,R104,"Setelah selesai memasak, tiriskan wortel dan ayam."
S521,R104,Dinginkan dan sajikan.
S522,R105,Masukkan semua bahan yang sudah disiapkan ke dalam blender.
S523,R105,Haluskan bahan-bahan tersebut sampai merata.
S524,R105,Tuang ke dalam mangkuk atau cangkir plastik milik si Kecil.
S525,R106,"Masukkan beras, ikan, telur puyuh, minyak kelapa ke dalam panci."
S526,R106,"Tambahkan air kaldu, tim hingga matang."
S527,R106,"Masukkan wortel dan tomat, selanjutnya tim hingga matang."
S528,R106,Nasi tim ikan kembung dan telur puyuh siap disajikan.
S529,R107,Campur rata bumbu halus dengan telur kocok.
S530,R107,"Maskkan bahan lainnya, aduk rata"
S531,R107,"Panaskan 5 sdm minyak dalam wajan datar (diameter 18 cm), tuang 1/2 bagian adonan telur. Dadar sampai kedua sisinya kecokelatan. Selesaikan dengan sisa adonan."
S532,R108,"Campur dada ayam dengan kecap asin dan air jahe, biarkan 10 menit. Ambil 12 wadah/mangkok kecil."
S533,R108,"Bagi ke dalamnya daging ayam. Tuangkan adonan telur, tapi jangan penuh."
S534,R108,"Kukus dengan api sedang kurang lebih 5 menit. Sebelum mengeras benar, taruh udang dan jamur di permukaan adonan. Tutup kembali, angkat setelah matang."
S535,R109,"Rebus daging dan jerohan secara terpisah, buang air perebus jerohan."
S536,R109,Ukur kaldu daging kurang lebih 1.500 ml.
S537,R109,Potong daging dan jerohan menurut selera
S538,R109,"Dengan 3 sdm minyak, tumis bumbu halus dan bumbu kering sampai harum."
S539,R109,"Masukkan dalam kaldu, bumbu tumis, jerohan, daging, dan kelapa tumbuk. Masak sampai rasa kaldu sedap"
S540,R109,"Hidangkan dengan ketupat/nasi, bersama pelengkapnya"
S541,R110,"Pisang dikupas, potong menjadi dua bagian memanjang. Kemudian pisang tersebut masing-masing dijepit (gapit) sampai agak gepeng."
S542,R110,"Panaskan teflon dengan mentega baru dimasukkan pisang yang gepeng, masak hingga berubah warna dan harum."
S543,R111,"Haluskan pisang dengan garpu, tambahkan madu, telur, dan susu, aduk sampai rata."
S544,R111,"Masukkan oat dan blueberry, campur jadi satu lalu masukkan ke dalam cup atau cetakan. Hiasl lagi bagian atas dengan blueberry."
S545,R111,Panggang di suhu 160 derajat selama 45 menit. Jangan lupa panaskan oven terlebih dahulu di suhu 160 derajat Celsius selama 10 menit.
S546,R112,"Didihkan air secukupnya, lalu rebus brokoli hingga layu. Kemudian, angkat."
S547,R112,"Rendam brokoli dalam air es hingga dingin, lalu tiriskan."
S548,R112,Tumis bawang bombay dan bawang putih hingga layu.
S549,R112,"Masukkan brokol, lalu tumis sebentar. Angkat."
S550,R112,Masukkan tumis ke dalam mangkuk blender.
S551,R112,"Masukkan susu, lalu tumiskan hingga lembut."
S552,R112,"Tuangkan ke dalam panci. Lalu, tambahkan kaldu, krim segar, merica, garam pala, dan daun salam. Kemudian, didihkan."
S553,R112,"Angkat, sajikan dengan bahan pelengkapnya."
S554,R113,"Blender pisang, telur, oatmeal, baking powder, dan garam hingga halus dan tercampur dengan rata."
S555,R113,Diamkan adonan selama 10-20 menit sampai teksturnya menjadi agak kental.
S556,R113,Panaskan wajan anti lengket dengan api sedang.
S557,R113,"Tuangkan satu sendok makan besar adonan ke wajan, lalu goreng hingga kedua sisinya berwarna cokelat keemasan."
S558,R113,Sajikan dengan madu atau topping yang disukai oleh balita.
S559,R114,"Panaskan oven pada suhu 200 derajat Celcius, letakkan kertas memanggang, lalu lumuri dengan olive oil."
S560,R114,"Gulung batangan keju mozzarella dengan kulit pangsit, lalu letakkan dengan sisi terlipat menghadap ke bawah. Kemudian, lumuri dengan olive oil sedikit."
S561,R114,Panggang selama 10-12 menit. Balikkan dan lumuri dengan sedikit olive oil agar mudah membalik dan memastikan semua matang dengan merata.
S562,R114,"Panggang lagi sampai 5-8 menit hingga warnanya kuning kecokelatan, lalu keluarkan dari oven."
S563,R114,"Sajikan dengan saus pilihan, atau bisa dengan saus marinara."
S564,R115,"Kocok butir telur kemudian masukkan nasi, tahu, wortel, tepung, daging ayam giling, bawang putih, daun bawang serta garam dan lada. Aduk rata hingga semua bahan tercampur dengan sempurna."
S565,R115,Ambil adonan lalu bentuk menjadi bola-bola. Kemudian kukus selama kurang lebih 15-20 menit agar bola-bola nasi matang sempurna.
S566,R115,"Kocok lepas 1 butir telur, celupkan bola-bola nasi satu persatu kedalam telur."
S567,R115,Kemudian balur dengan tepung roti. Lakukan hingga bola-bola nasi habis.
S568,R115,"Panaskan minyak, kemudian goreng bola-bola nasi hingga kecokelatan. Angkat dan sajikan."
S569,R116,"Panaskan mentega dengan api kecil, masukkan daging ayam cincang dan tofu, aduk rata sampai matang."
S570,R116,"Tuang kaldu ayam, masukkan juga wortel dan garam, aduk rata, koreksi rasa."
S571,R116,"Masak hingga matang, angkat dan sajikan."
S572,R117,Pecahkan telur dan kocok hingga semua bagian bercampur menjadi satu. Campur juga semua sisa bahan di wadah yang berbeda dengan telur.
S573,R117,"Ketika sudah tercampur rata, Anda bisa langsung membentuk adonan kentang tersebut dalam bentuk bulat pipih untuk membuatnya terlihat seperti perkedel pada umumnya. Lakukan hal yang sama sampai semua adonan habis."
S574,R117,"Kemudian celupkan adonan yang sudah dibentuk ke dalam kocokan telur dan goreng dengan minyak. Ulang proses ini sampai semua adonan digoreng. Jika sudah kecokelatan maka perkedel bisa diangkat, lalu disajikan."
S575,R118,"Panaskan kaldu dalam panci dan tambahkan nasi hingga air mengering. Setelah itu matikan dan sisihkan sebentar. Sambil menunggu dingin, Anda bisa menumis bawang putih serta sisa bahan lainnya sampai warna berubah kecokelatan."
S576,R118,Tuang bahan yang ditumis ke atas nasi dalam wadah tahan panas untuk dikukus selama 15 menit. Jika terlihat sudah matang maka nasi salmon siap disajikan.
S577,R119,"Masukkan tulang ayam dan air ke dalam panci lalu panaskan hingga mendidih. Selagi menunggu, Anda bisa menumis bawang merah, bawang putih, garam, kunyit, dan daun bawang sampai harum. Tambahkan daging ayam dan aduk sampai bumbu meresap."
S578,R119,Tuang 500 ml air kaldu yang sudah jadi dan beras ke dalam tumisan. Aduk lagi beberapa kali lalu diamkan hingga kembali mendidih. Selanjutnya siapkan panci untuk kukusan beserta lembaran aluminium yang sudah dilapisi dengan mentega.
S579,R119,"Ketika tumisan mendidih, tuangkan ke dalam lembaran aluminium. Terakhir, tambahkan kaldu sampai ¾ dari wadah. Diamkan kukusan sampai matang lalu angkat dan nasi tim ayam kuning siap disajikan."
S580,R120,"Panaskan olive oil di atas teflon. Tambahkan bawang putih dan bawang bombay untuk ditumis hingga harum. Kemudian masukkan daging ayam lalu masak sampai matang. Selanjutnya masukkan wortel parut, tomat, kacang merah, dan air."
S581,R120,"Tunggu sampai mendidih lalu tambahkan kentang dan bubuk oregano. Terakhir, blender semua bahan sampai halus dan chicken bolognese siap disajikan."